referee_id,name,source_lots,raw_rows,unique_event_rows,duplicates_removed
791291,Michalis Matsoukas,480|FINAL,1,1,0
791292,Spyros Zampalas,FINAL,1,1,0
791293,Daniel Bruno da Silva Pinto,120,1,1,0
791294,Meletis Gioumatzidis,480|FINAL,1,1,0
791295,Birkan Altindas,120,1,1,0
791296,Lefteris Katopis,360,1,1,0
791297,Franciel dos Santos Martins,240,1,1,0
791298,Rueben Ricardo,480|FINAL,1,1,0
791299,Pablo Morales Moreno,480|FINAL,1,1,0
791304,Rosario Guadalupe Cardenas Morales,480|FINAL,1,1,0
791310,Juan Gordillo,360,1,1,0
791418,Muhammet Alperen Copur,480|FINAL,1,1,0
